//DANE ODCZYTYWANE I PODAWANE SĄ CO OKREŚLONĄ PRĘDKOŚĆ W GRZE (DOMYŚLNIE JEST TO CO 0.1s)

Data rozpoczęcia logow: 16.02.2023 21:40:21
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -7,40870571136475 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -6,3292350769043 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -5,24976444244385 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -4,1702938079834 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -3,25630116462708 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -3,32198691368103 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -3,38767266273499 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -3,45335841178894 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -3,5190441608429 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -3,58472990989685 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -3,65041565895081 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -3,71610140800476 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -3,80864286422729 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -4,05205965042114 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -4,29547643661499 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -4,53889322280884 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -4,78231000900269 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -5,02572679519653 | Wynik: -1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -5,26914358139038 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -5,51256036758423 | Wynik: -1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -5,72232341766357 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -5,84464931488037 | Wynik: -1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -5,96697521209717 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -6,08930110931396 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -6,21162700653076 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -6,33395290374756 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -6,45627880096436 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -6,57860469818115 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -6,55558681488037 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -6,34172677993774 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -6,12786674499512 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -5,91400671005249 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -5,70014667510986 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -5,48628664016724 | Wynik: -1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -5,27242660522461 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -5,05856657028198 | Wynik: -1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -4,99776840209961 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -4,99620628356934 | Wynik: -1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -4,99464416503906 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -4,99308204650879 | Wynik: -1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -4,99151992797852 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -4,98995780944824 | Wynik: -1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -4,98839569091797 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -4,98877382278442 | Wynik: -1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -5,25305891036987 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -5,51734399795532 | Wynik: -1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -5,78162908554077 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -6,04591417312622 | Wynik: -1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -6,31019926071167 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -6,57448434829712 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -6,83876943588257 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -6,98043489456177 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -6,96331834793091 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -6,94620180130005 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -6,92908525466919 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -6,91196870803833 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -6,89485216140747 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -6,87773561477661 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -6,86061906814575 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -7,4141960144043 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -8,05959510803223 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -8,12997722625732 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -7,47992897033691 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -6,8298807144165 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -6,17983245849609 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -5,52978420257568 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -5,00826358795166 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -4,6654953956604 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -4,32272720336914 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -3,97995901107788 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -3,63719081878662 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -3,29442262649536 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -2,9516544342041 | Wynik: 1(prawidlowy)
Pozycja paletki: -1,99999928474426 | Pozycja pilki: -2,7497444152832 | Wynik: -1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -3,39111423492432 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -4,03248405456543 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -4,67385387420654 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -5,31522369384766 | Wynik: -1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -5,95659351348877 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -6,59796333312988 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -7,239333152771 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -7,85668277740479 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -8,36709880828857 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -7,77220678329468 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -7,17731666564941 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -6,58242654800415 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -5,98753643035889 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -5,39264631271362 | Wynik: 1(prawidlowy)
-----------------------------------------------------

Data rozpoczęcia logow: 16.02.2023 21:55:08
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
-----------------------------------------------------
